Paystep,BAC1,C1+PD,BA+30+C2,C2+ID,MA+C2+PD,C2+ID+PD,MA+30+C6,MA+30,C6+PD
1A,59291,64661,61281,64960,66652,70327,68643,74010
1B,59291,64661,61281,64960,66652,70327,68643,74010
2A,60470,65840,62460,66139,67831,71506,69822,75189
2B,60470,65840,62460,66139,67831,71506,69822,75189
3A,60970,66340,62960,66639,68331,72006,70322,75689
3B,60970,66340,62960,66639,68331,72006,70322,75689
4A,61852,67222,63842,67521,69213,72888,71204,76571
4B,61852,67222,63842,67521,69213,72888,71204,76571
5A,62616,67986,64606,68285,69977,73652,71968,77335
5B,62616,67986,64606,68285,69977,73652,71968,77335
6A,63437,68807,65427,69106,70798,74473,72789,78156
6A+L5,64686,70056,66676,70355,72047,75722,74038,79405
6B,64602,69972,66592,70271,71963,75638,73954,79321
6B+L5,65851,71221,67841,71520,73212,76887,75203,80570
7A,66330,71700,68320,71999,73691,77366,75682,81049
7A+L5,67579,72949,69569,73248,74940,78615,76931,82298
7B,70379,75749,72369,76048,77740,81415,79731,85098
7B+L5,71628,76998,73618,77297,78989,82664,80980,86347
8A,74165,79535,76155,79834,81526,85201,83517,88884
8A+L5,75414,80784,77404,81083,82775,86450,84766,90133
8B,78662,84032,80652,84331,86023,89698,88014,93381
8B+L5,79911,85281,81901,85580,87272,90947,89263,94630
8B+L10,83767,89137,85757,89436,91128,94803,93119,98486
8B+L13,86392,91762,88382,92061,93753,97428,95744,101111
8B+L15,91933,97303,93923,97602,99294,102969,101285,106652
8B+L18,93387,98757,95377,99056,100748,104423,102739,108106
8B+L20,104139,109509,106129,109808,111500,115175,113491,118858
8B+L22,110190,115560,112180,115859,117551,121226,119542,124909